country_id,country_name,income_level,region
ROU,Romania,High income,Europe & Central Asia
RUS,Russian Federation,High income,Europe & Central Asia
RWA,Rwanda,Low income,Sub-Saharan Africa
WSM,Samoa,Lower middle income,East Asia & Pacific
SMR,Republic of San Marino,High income,Europe & Central Asia
STP,São Tomé and Principe,Lower middle income,Sub-Saharan Africa
SAU,Saudi Arabia,High income,Middle East & North Africa
SEN,Senegal,Lower middle income,Sub-Saharan Africa
SRB,Serbia,Upper middle income,Europe & Central Asia
SYC,Seychelles,High income,Sub-Saharan Africa
SLE,Sierra Leone,Low income,Sub-Saharan Africa
SGP,Singapore,High income,East Asia & Pacific
SXM,Sint Maarten (Dutch part),High income,Latin America & Caribbean
SVK,Slovak Republic,High income,Europe & Central Asia
SVN,Slovenia,High income,Europe & Central Asia
SLB,Solomon Islands,Lower middle income,East Asia & Pacific
SOM,Somali,Low income,Sub-Saharan Africa
ZAF,South Africa,Upper middle income,Sub-Saharan Africa
SSD,South Sudan,Low income,Sub-Saharan Africa
ESP,Spain,High income,Europe & Central Asia
LKA,Sri Lanka,Lower middle income,South Asia
KNA,St. Kitts and Nevis,High income,Latin America & Caribbean
LCA,St. Lucia,Upper middle income,Latin America & Caribbean
MAF,St. Martin (French part),High income,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean
SDN,Sudan,Low income,Sub-Saharan Africa
SUR,Suriname,Upper middle income,Latin America & Caribbean
SWE,Sweden,High income,Europe & Central Asia
CHE,Switzerland,High income,Europe & Central Asia
SYR,Syrian Arab Republic,Low income,Middle East & North Africa
TJK,Tajikistan,Lower middle income,Europe & Central Asia
TZA,Tanzania,Lower middle income,Sub-Saharan Africa
THA,Thailand,Upper middle income,East Asia & Pacific
TLS,Timor-Leste,Lower middle income,East Asia & Pacific
TGO,Togo,Low income,Sub-Saharan Africa
TON,Tonga,Upper middle income,East Asia & Pacific
TTO,Trinidad and Tobago,High income,Latin America & Caribbean
TUN,Tunisia,Lower middle income,Middle East & North Africa
TUR,Türkiye,Upper middle income,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,Europe & Central Asia
TCA,Turks and Caicos Islands,High income,Latin America & Caribbean
TUV,Tuvalu,Upper middle income,East Asia & Pacific
UGA,Uganda,Low income,Sub-Saharan Africa
UKR,Ukraine,Upper middle income,Europe & Central Asia
ARE,United Arab Emirates,High income,Middle East & North Africa
GBR,United Kingdom,High income,Europe & Central Asia
USA,United States,High income,North America
URY,Uruguay,High income,Latin America & Caribbean
UZB,Uzbekistan,Lower middle income,Europe & Central Asia
VUT,Vanuatu,Lower middle income,East Asia & Pacific
VEN,Venezuela,Upper middle income,Latin America & Caribbean
VNM,Viet Nam,Lower middle income,East Asia & Pacific
VIR,Virgin Islands (U.S.),High income,Latin America & Caribbean
PSE,West Bank and Gaza,Lower middle income,Middle East & North Africa
YEM,Republic of Yemen,Low income,Middle East & North Africa
ZMB,Zambia,Lower middle income,Sub-Saharan Africa
ZWE,Zimbabwe,Lower middle income,Sub-Saharan Africa
